Date & Time,use [kW],gen [kW],Electronics closet [kW],Office outlets 2 [kW],Dishwasher &amp; disposal [kW],Hot tub [kW],HP #3 [kW],HP #2 [kW],HP #1 [kW],Wall oven [kW],ERV + humidifier + fountain [kW],Freezer + gallery lights [kW],Phoenix boiler [kW]
2015-12-28 16:11:00,11.342583333,0.0,0.075616667,0.00535,0.000266667,0.045816667,1.9961,4.354533333,4.75655,0.002466667,0.006233333,0.096416667,0.008166667
2015-12-28 16:12:00,12.211533333,0.0,0.075616667,0.005383333,0.000266667,0.046,2.83245,4.370566667,4.77305,0.002533333,0.00625,0.096316667,0.008166667
2015-12-28 16:13:00,12.41035,0.0,0.075666667,0.005316667,0.00025,0.046066667,2.9139,4.429066667,4.8323,0.002566667,0.00625,0.095916667,0.008183333
2015-12-28 16:14:00,12.453966667,0.0,0.075533333,0.0054,0.000266667,0.046066667,2.87665,4.46665,4.87605,0.002566667,0.006266667,0.095483333,0.008166667
2015-12-28 16:15:00,9.496483333,0.0,0.0757,0.005416667,0.000266667,0.045466667,0.011033333,4.418166667,4.832766667,0.002333333,0.006283333,0.095516667,0.0082
2015-12-28 16:16:00,9.317083333,0.0,0.075633333,0.005283333,0.000266667,0.045466667,0.010216667,4.32935,4.743483333,0.002266667,0.006266667,0.0952,0.008183333
2015-12-28 16:17:00,9.1127,0.0,0.075683333,0.005383333,0.000266667,0.045433333,0.010166667,4.26735,4.676783333,0.002233333,0.006333333,0.019316667,0.008216667
2015-12-28 16:18:00,9.084666667,0.0,0.075766667,0.0054,0.000266667,0.045466667,0.010083333,4.26055,4.6668,0.00225,0.006333333,0.008033333,0.008216667
2015-12-28 16:19:00,9.165283333,0.0,0.0758,0.005383333,0.000266667,0.04555,0.0101,4.302233333,4.705616667,0.00225,0.006333333,0.008033333,0.008216667
2015-12-28 16:20:00,9.2514,0.0,0.075633333,0.00535,0.000266667,0.04555,0.010116667,4.3464,4.747766667,0.002266667,0.006333333,0.008033333,0.008216667
2015-12-28 16:21:00,9.3172,0.0,0.075683333,0.005216667,0.000266667,0.045583333,0.0102,4.3786,4.78135,0.002283333,0.006333333,0.008033333,0.008216667
2015-12-28 16:22:00,9.371983333,0.0,0.075883333,0.005166667,0.000266667,0.045633333,0.0122,4.402783333,4.809666667,0.0023,0.0064,0.008,0.008283333
2015-12-28 16:23:00,9.3865,0.0,0.076116667,0.005233333,0.000266667,0.045733333,0.01225,4.408566667,4.817866667,0.002333333,0.00645,0.008033333,0.008316667
2015-12-28 16:24:00,9.480883333,0.0,0.0761,0.005166667,0.000266667,0.04575,0.1114,4.405866667,4.81585,0.002333333,0.006416667,0.008083333,0.008316667
2015-12-28 16:25:00,11.6537,0.0,0.075966667,0.0054,0.000283333,0.04615,2.2945,4.400666667,4.81045,0.0025,0.006433333,0.008066667,0.008283333
